index,player,team,match name,rating,goals,shots off target,shots on target blocked,match short
196,Aaron Lennon,Burnley,Burnley - West Ham,7.282688232822068,0,3,0,Burnley - West Ham...
205,Aaron Lennon,Burnley,Huddersfield - Burnley,4.606045408136603,0,0,0,Huddersfield - Bur...
211,Aaron Lennon,Burnley,Burnley - Fulham,8.068255758547396,1,3,2,Burnley - Fulham
226,Aaron Lennon,Burnley,Watford - Burnley,9.26657587901107,2,2,1,Watford - Burnley
233,Aaron Lennon,Burnley,Man United - Burnley,4.058506488810147,0,0,3,Man United - Burnl...
241,Aaron Lennon,Burnley,Burnley - Southampton,7.248144065428715,1,3,3,Burnley - Southamp...
251,Aaron Lennon,Burnley,Brighton - Burnley,5.130424127374094,0,0,3,Brighton - Burnley...
264,Aaron Lennon,Burnley,Burnley - Tottenham,6.55098264809709,1,0,1,Burnley - Tottenha...
272,Aaron Lennon,Burnley,Newcastle - Burnley,6.022627186709272,0,2,1,Newcastle - Burnle...
281,Aaron Lennon,Burnley,Burnley - Crystal Palace,8.575383309755084,1,2,2,Burnley - Crystal ...
298,Aaron Lennon,Burnley,Liverpool - Burnley,7.1364483485305295,2,2,2,Liverpool - Burnle...
300,Aaron Lennon,Burnley,Burnley - Leicester,5.570863448423258,1,1,0,Burnley - Leiceste...
305,Aaron Lennon,Burnley,Burnley - Wolves,7.110706561672471,1,2,0,Burnley - Wolves
320,Aaron Lennon,Burnley,Bournemouth - Burnley,5.202841793081422,0,0,1,Bournemouth - Burn...
327,Aaron Lennon,Burnley,Burnley - Cardiff,5.90422024549511,1,3,0,Burnley - Cardiff
345,Aaron Lennon,Burnley,Chelsea - Burnley,9.390201641349526,0,1,3,Chelsea - Burnley
357,Aaron Lennon,Burnley,Burnley - Man City,8.554990735833409,2,2,2,Burnley - Man City...
360,Aaron Lennon,Burnley,Everton - Burnley,9.651222678712921,0,2,0,Everton - Burnley
371,Aaron Lennon,Burnley,Burnley - Arsenal,8.977435574987837,0,3,3,Burnley - Arsenal
3,Aaron Mooy,Huddersfield,Huddersfield - Chelsea,4.124345544791186,1,2,0,Huddersfield - Che...
18,Aaron Mooy,Huddersfield,Man City - Huddersfield,6.595186634930847,0,2,1,Man City - Hudders...
22,Aaron Mooy,Huddersfield,Huddersfield - Cardiff,6.736927768996067,1,1,1,Huddersfield - Car...
33,Aaron Mooy,Huddersfield,Everton - Huddersfield,4.238196548133746,1,2,0,Everton - Huddersf...
42,Aaron Mooy,Huddersfield,Huddersfield - Crystal Palace,7.610670842226281,2,2,1,Huddersfield - Cry...
55,Aaron Mooy,Huddersfield,Leicester - Huddersfield,8.007258781760727,2,2,2,Leicester - Hudder...
63,Aaron Mooy,Huddersfield,Huddersfield - Tottenham,5.039490423011372,0,2,0,Huddersfield - Tot...
71,Aaron Mooy,Huddersfield,Burnley - Huddersfield,4.197327198353448,1,1,0,Burnley - Huddersf...
83,Aaron Mooy,Huddersfield,Huddersfield - Liverpool,6.3378809513314565,2,2,2,Huddersfield - Liv...
95,Aaron Mooy,Huddersfield,Watford - Huddersfield,5.2352518593106705,2,0,1,Watford - Huddersf...
109,Aaron Mooy,Huddersfield,Huddersfield - Fulham,4.153612582071164,1,3,2,Huddersfield - Ful...
112,Aaron Mooy,Huddersfield,Huddersfield - West Ham,5.781321019272382,2,3,3,Huddersfield - Wes...
128,Aaron Mooy,Huddersfield,Wolves - Huddersfield,6.084141014065797,1,0,1,Wolves - Huddersfi...
132,Aaron Mooy,Huddersfield,Huddersfield - Brighton,4.502257570745076,2,1,3,Huddersfield - Bri...
140,Aaron Mooy,Huddersfield,Bournemouth - Huddersfield,7.937463098095949,2,2,2,Bournemouth - Hudd...
150,Aaron Mooy,Huddersfield,Arsenal - Huddersfield,6.585472528677974,2,3,3,Arsenal - Huddersf...
162,Aaron Mooy,Huddersfield,Huddersfield - Newcastle,6.860317584413003,2,1,1,Huddersfield - New...
175,Aaron Mooy,Huddersfield,Huddersfield - Southampton,7.921206116773367,1,2,3,Huddersfield - Sou...
186,Aaron Mooy,Huddersfield,Man United - Huddersfield,6.017446876412739,1,3,0,Man United - Hudde...
191,Aaron Mooy,Huddersfield,Fulham - Huddersfield,6.905339509623495,0,2,2,Fulham - Huddersfi...
205,Aaron Mooy,Huddersfield,Huddersfield - Burnley,6.180852844702333,0,3,3,Huddersfield - Bur...
212,Aaron Mooy,Huddersfield,Cardiff - Huddersfield,5.086141081819949,2,0,2,Cardiff - Huddersf...
229,Aaron Mooy,Huddersfield,Huddersfield - Man City,6.217334029344434,0,3,0,Huddersfield - Man...
232,Aaron Mooy,Huddersfield,Huddersfield - Everton,9.676553058282941,2,1,2,Huddersfield - Eve...
243,Aaron Mooy,Huddersfield,Chelsea - Huddersfield,6.087987885289012,2,1,3,Chelsea - Huddersf...
254,Aaron Mooy,Huddersfield,Huddersfield - Arsenal,7.214071479191794,0,2,3,Huddersfield - Ars...
266,Aaron Mooy,Huddersfield,Newcastle - Huddersfield,9.486504146728723,2,3,2,Newcastle - Hudder...
270,Aaron Mooy,Huddersfield,Huddersfield - Wolves,5.7580645020434025,0,1,3,Huddersfield - Wol...
280,Aaron Mooy,Huddersfield,Brighton - Huddersfield,9.350611796474988,2,2,0,Brighton - Hudders...
291,Aaron Mooy,Huddersfield,Huddersfield - Bournemouth,4.0843581936347615,2,3,3,Huddersfield - Bou...
301,Aaron Mooy,Huddersfield,West Ham - Huddersfield,4.756493912316568,2,1,0,West Ham - Hudders...
306,Aaron Mooy,Huddersfield,Crystal Palace - Huddersfield,9.708358183960364,1,1,1,Crystal Palace - H...
321,Aaron Mooy,Huddersfield,Huddersfield - Leicester,9.603044856400473,1,2,3,Huddersfield - Lei...
331,Aaron Mooy,Huddersfield,Tottenham - Huddersfield,6.644534817772115,2,0,2,Tottenham - Hudder...
337,Aaron Mooy,Huddersfield,Huddersfield - Watford,6.269345284704165,0,2,0,Huddersfield - Wat...
350,Aaron Mooy,Huddersfield,Liverpool - Huddersfield,6.524226195055444,2,2,2,Liverpool - Hudder...
368,Aaron Mooy,Huddersfield,Huddersfield - Man United,5.925810458739392,2,3,1,Huddersfield - Man...
377,Aaron Mooy,Huddersfield,Southampton - Huddersfield,7.488981635079769,0,2,0,Southampton - Hudd...
7,Aaron Ramsey,Arsenal,Arsenal - Man City,4.387159875331663,2,0,2,Arsenal - Man City...
11,Aaron Ramsey,Arsenal,Chelsea - Arsenal,9.389315752151361,1,1,1,Chelsea - Arsenal
20,Aaron Ramsey,Arsenal,Arsenal - West Ham,8.234578042953327,0,1,3,Arsenal - West Ham...
38,Aaron Ramsey,Arsenal,Cardiff - Arsenal,6.235001534048591,0,3,1,Cardiff - Arsenal
44,Aaron Ramsey,Arsenal,Newcastle - Arsenal,5.226104026590133,2,3,2,Newcastle - Arsena...
58,Aaron Ramsey,Arsenal,Arsenal - Everton,8.469909175961877,1,2,3,Arsenal - Everton
60,Aaron Ramsey,Arsenal,Arsenal - Watford,4.899716771131847,1,2,0,Arsenal - Watford
77,Aaron Ramsey,Arsenal,Fulham - Arsenal,5.82835628074929,2,3,2,Fulham - Arsenal
89,Aaron Ramsey,Arsenal,Arsenal - Leicester,5.097469869286192,1,2,2,Arsenal - Leiceste...
97,Aaron Ramsey,Arsenal,Crystal Palace - Arsenal,8.947148176351694,2,2,3,Crystal Palace - A...
100,Aaron Ramsey,Arsenal,Arsenal - Liverpool,8.14143567809029,0,0,0,Arsenal - Liverpoo...
116,Aaron Ramsey,Arsenal,Arsenal - Wolves,9.602965970210793,1,3,0,Arsenal - Wolves
127,Aaron Ramsey,Arsenal,Bournemouth - Arsenal,4.3516244963385615,0,3,2,Bournemouth - Arse...
137,Aaron Ramsey,Arsenal,Arsenal - Tottenham,7.024485157782427,0,0,0,Arsenal - Tottenha...
147,Aaron Ramsey,Arsenal,Man United - Arsenal,7.363903823922396,0,0,2,Man United - Arsen...
150,Aaron Ramsey,Arsenal,Arsenal - Huddersfield,8.593770059023587,1,2,3,Arsenal - Huddersf...
169,Aaron Ramsey,Arsenal,Southampton - Arsenal,8.18553577271185,1,3,2,Southampton - Arse...
171,Aaron Ramsey,Arsenal,Arsenal - Burnley,8.6583063104256,1,2,3,Arsenal - Burnley
180,Aaron Ramsey,Arsenal,Brighton - Arsenal,8.788459103395766,1,3,3,Brighton - Arsenal...
193,Aaron Ramsey,Arsenal,Liverpool - Arsenal,9.568252434643833,1,0,3,Liverpool - Arsena...
200,Aaron Ramsey,Arsenal,Arsenal - Fulham,9.080371417804061,0,2,1,Arsenal - Fulham
216,Aaron Ramsey,Arsenal,West Ham - Arsenal,8.316034100488164,1,2,2,West Ham - Arsenal...
220,Aaron Ramsey,Arsenal,Arsenal - Chelsea,5.877073030154045,2,1,0,Arsenal - Chelsea
230,Aaron Ramsey,Arsenal,Arsenal - Cardiff,9.432159795754984,2,3,3,Arsenal - Cardiff
248,Aaron Ramsey,Arsenal,Man City - Arsenal,9.655104775779389,2,2,1,Man City - Arsenal...
254,Aaron Ramsey,Arsenal,Huddersfield - Arsenal,8.803350725119161,2,3,2,Huddersfield - Ars...
267,Aaron Ramsey,Arsenal,Arsenal - Southampton,8.477035727307621,2,0,0,Arsenal - Southamp...
273,Aaron Ramsey,Arsenal,Arsenal - Bournemouth,8.680366266266413,2,3,2,Arsenal - Bournemo...
283,Aaron Ramsey,Arsenal,Tottenham - Arsenal,6.317689797667167,2,0,1,Tottenham - Arsena...
296,Aaron Ramsey,Arsenal,Arsenal - Man United,8.339627103882052,0,3,1,Arsenal - Man Unit...
313,Aaron Ramsey,Arsenal,Arsenal - Newcastle,6.003058052043157,2,2,3,Arsenal - Newcastl...
323,Aaron Ramsey,Arsenal,Everton - Arsenal,5.332781107721417,0,1,3,Everton - Arsenal
334,Aaron Ramsey,Arsenal,Watford - Arsenal,6.893148933353875,0,3,1,Watford - Arsenal
342,Aaron Ramsey,Arsenal,Arsenal - Crystal Palace,6.749435388751362,2,1,1,Arsenal - Crystal ...
349,Aaron Ramsey,Arsenal,Wolves - Arsenal,4.058795517792973,0,1,3,Wolves - Arsenal
358,Aaron Ramsey,Arsenal,Leicester - Arsenal,5.649257019160033,2,0,2,Leicester - Arsena...
366,Aaron Ramsey,Arsenal,Arsenal - Brighton,4.803075206954505,0,2,1,Arsenal - Brighton...
371,Aaron Ramsey,Arsenal,Burnley - Arsenal,8.423587257030356,0,2,1,Burnley - Arsenal
3,Abdelhamid Sabiri,Huddersfield,Huddersfield - Chelsea,7.311475176343354,1,1,1,Huddersfield - Che...
18,Abdelhamid Sabiri,Huddersfield,Man City - Huddersfield,6.44410052854745,1,3,3,Man City - Hudders...
22,Abdelhamid Sabiri,Huddersfield,Huddersfield - Cardiff,9.998536911743471,0,1,1,Huddersfield - Car...
33,Abdelhamid Sabiri,Huddersfield,Everton - Huddersfield,6.693233379569746,0,0,0,Everton - Huddersf...
42,Abdelhamid Sabiri,Huddersfield,Huddersfield - Crystal Palace,5.180020065909941,2,0,2,Huddersfield - Cry...
55,Abdelhamid Sabiri,Huddersfield,Leicester - Huddersfield,5.426144117362769,1,2,1,Leicester - Hudder...
63,Abdelhamid Sabiri,Huddersfield,Huddersfield - Tottenham,4.9509208999345296,1,2,2,Huddersfield - Tot...
71,Abdelhamid Sabiri,Huddersfield,Burnley - Huddersfield,7.550830963486207,0,1,0,Burnley - Huddersf...
83,Abdelhamid Sabiri,Huddersfield,Huddersfield - Liverpool,6.154412448628907,2,0,1,Huddersfield - Liv...
95,Abdelhamid Sabiri,Huddersfield,Watford - Huddersfield,5.919704293054103,1,0,2,Watford - Huddersf...
109,Abdelhamid Sabiri,Huddersfield,Huddersfield - Fulham,9.32689069031394,0,0,2,Huddersfield - Ful...
112,Abdelhamid Sabiri,Huddersfield,Huddersfield - West Ham,7.840757484122509,0,2,2,Huddersfield - Wes...
128,Abdelhamid Sabiri,Huddersfield,Wolves - Huddersfield,8.441714194471121,0,1,3,Wolves - Huddersfi...
132,Abdelhamid Sabiri,Huddersfield,Huddersfield - Brighton,8.404518530245298,1,1,2,Huddersfield - Bri...
140,Abdelhamid Sabiri,Huddersfield,Bournemouth - Huddersfield,9.6450945629498,2,0,2,Bournemouth - Hudd...
150,Abdelhamid Sabiri,Huddersfield,Arsenal - Huddersfield,9.682431421772772,0,2,2,Arsenal - Huddersf...
162,Abdelhamid Sabiri,Huddersfield,Huddersfield - Newcastle,8.961000425817016,2,1,0,Huddersfield - New...
175,Abdelhamid Sabiri,Huddersfield,Huddersfield - Southampton,4.971082079185876,2,3,0,Huddersfield - Sou...
186,Abdelhamid Sabiri,Huddersfield,Man United - Huddersfield,4.144076806720291,0,0,0,Man United - Hudde...
191,Abdelhamid Sabiri,Huddersfield,Fulham - Huddersfield,8.642425930786501,2,1,0,Fulham - Huddersfi...
205,Abdelhamid Sabiri,Huddersfield,Huddersfield - Burnley,5.46264848548483,1,0,2,Huddersfield - Bur...
212,Abdelhamid Sabiri,Huddersfield,Cardiff - Huddersfield,7.416589504614585,0,1,0,Cardiff - Huddersf...
229,Abdelhamid Sabiri,Huddersfield,Huddersfield - Man City,5.060576800695268,0,3,1,Huddersfield - Man...
232,Abdelhamid Sabiri,Huddersfield,Huddersfield - Everton,4.028243236716709,1,3,1,Huddersfield - Eve...
243,Abdelhamid Sabiri,Huddersfield,Chelsea - Huddersfield,7.763567370827314,2,3,3,Chelsea - Huddersf...
254,Abdelhamid Sabiri,Huddersfield,Huddersfield - Arsenal,5.323382594146476,2,3,1,Huddersfield - Ars...
266,Abdelhamid Sabiri,Huddersfield,Newcastle - Huddersfield,7.289732092266755,0,0,2,Newcastle - Hudder...
270,Abdelhamid Sabiri,Huddersfield,Huddersfield - Wolves,7.797697939135147,1,0,0,Huddersfield - Wol...
280,Abdelhamid Sabiri,Huddersfield,Brighton - Huddersfield,8.75261668774612,2,3,1,Brighton - Hudders...
291,Abdelhamid Sabiri,Huddersfield,Huddersfield - Bournemouth,6.239468072428366,0,2,2,Huddersfield - Bou...
301,Abdelhamid Sabiri,Huddersfield,West Ham - Huddersfield,6.1630504271126965,2,2,0,West Ham - Hudders...
306,Abdelhamid Sabiri,Huddersfield,Crystal Palace - Huddersfield,5.992825706146988,2,3,3,Crystal Palace - H...
321,Abdelhamid Sabiri,Huddersfield,Huddersfield - Leicester,4.901844879466053,2,0,1,Huddersfield - Lei...
331,Abdelhamid Sabiri,Huddersfield,Tottenham - Huddersfield,4.5138991565364766,1,3,0,Tottenham - Hudder...
337,Abdelhamid Sabiri,Huddersfield,Huddersfield - Watford,5.8849421916368,2,1,0,Huddersfield - Wat...
350,Abdelhamid Sabiri,Huddersfield,Liverpool - Huddersfield,7.889104917347803,2,1,2,Liverpool - Hudder...
368,Abdelhamid Sabiri,Huddersfield,Huddersfield - Man United,8.07764013982695,1,1,1,Huddersfield - Man...
377,Abdelhamid Sabiri,Huddersfield,Southampton - Huddersfield,8.647123556495437,1,3,1,Southampton - Hudd...
5,Abdoulaye Doucouré,Watford,Watford - Brighton,6.280601696067259,2,3,1,Watford - Brighton...
17,Abdoulaye Doucouré,Watford,Burnley - Watford,4.771587913961247,1,3,2,Burnley - Watford
28,Abdoulaye Doucouré,Watford,Watford - Crystal Palace,9.442570365502077,0,0,2,Watford - Crystal ...
39,Abdoulaye Doucouré,Watford,Watford - Tottenham,8.203851150217194,2,1,3,Watford - Tottenha...
46,Abdoulaye Doucouré,Watford,Watford - Man United,8.495248814107587,0,0,1,Watford - Man Unit...
54,Abdoulaye Doucouré,Watford,Fulham - Watford,5.992421022943057,2,2,2,Fulham - Watford
60,Abdoulaye Doucouré,Watford,Arsenal - Watford,8.317487183604682,2,2,1,Arsenal - Watford
76,Abdoulaye Doucouré,Watford,Watford - Bournemouth,6.803230237193555,1,1,1,Watford - Bournemo...
87,Abdoulaye Doucouré,Watford,Wolves - Watford,8.200388186497541,1,2,0,Wolves - Watford
95,Abdoulaye Doucouré,Watford,Watford - Huddersfield,8.130748963189706,2,3,1,Watford - Huddersf...
104,Abdoulaye Doucouré,Watford,Newcastle - Watford,9.423872867286718,2,1,1,Newcastle - Watfor...
115,Abdoulaye Doucouré,Watford,Southampton - Watford,8.024429514925282,0,2,0,Southampton - Watf...
125,Abdoulaye Doucouré,Watford,Watford - Liverpool,9.136788130782321,1,0,1,Watford - Liverpoo...
133,Abdoulaye Doucouré,Watford,Leicester - Watford,6.968442123864634,2,2,0,Leicester - Watfor...
142,Abdoulaye Doucouré,Watford,Watford - Man City,9.252347548047137,0,0,2,Watford - Man City...
159,Abdoulaye Doucouré,Watford,Everton - Watford,5.399876871848521,0,2,0,Everton - Watford
165,Abdoulaye Doucouré,Watford,Watford - Cardiff,7.416612725200266,2,0,0,Watford - Cardiff
178,Abdoulaye Doucouré,Watford,West Ham - Watford,9.909456243538283,0,3,0,West Ham - Watford...
188,Abdoulaye Doucouré,Watford,Watford - Chelsea,8.184370625607297,1,2,1,Watford - Chelsea
195,Abdoulaye Doucouré,Watford,Watford - Newcastle,9.454313830280453,1,2,3,Watford - Newcastl...
203,Abdoulaye Doucouré,Watford,Bournemouth - Watford,8.914674350054954,1,1,2,Bournemouth - Watf...
214,Abdoulaye Doucouré,Watford,Crystal Palace - Watford,8.523297785783726,2,0,0,Crystal Palace - W...
226,Abdoulaye Doucouré,Watford,Watford - Burnley,7.702128076676643,0,1,3,Watford - Burnley
239,Abdoulaye Doucouré,Watford,Tottenham - Watford,5.959991404321382,0,2,0,Tottenham - Watfor...
240,Abdoulaye Doucouré,Watford,Brighton - Watford,8.22144404590985,2,3,3,Brighton - Watford...
257,Abdoulaye Doucouré,Watford,Watford - Everton,4.099959625795691,0,3,3,Watford - Everton
261,Abdoulaye Doucouré,Watford,Cardiff - Watford,5.1890630162746545,2,1,1,Cardiff - Watford
276,Abdoulaye Doucouré,Watford,Liverpool - Watford,9.112350501723292,0,3,1,Liverpool - Watfor...
288,Abdoulaye Doucouré,Watford,Watford - Leicester,6.495814613828659,1,0,1,Watford - Leiceste...
293,Abdoulaye Doucouré,Watford,Man City - Watford,7.5659554887563045,1,1,3,Man City - Watford...
309,Abdoulaye Doucouré,Watford,Man United - Watford,6.439425334422897,2,1,0,Man United - Watfo...
314,Abdoulaye Doucouré,Watford,Watford - Fulham,9.674672140598265,1,3,0,Watford - Fulham
334,Abdoulaye Doucouré,Watford,Watford - Arsenal,5.101391886895776,0,1,3,Watford - Arsenal
337,Abdoulaye Doucouré,Watford,Huddersfield - Watford,8.541488100199203,0,1,3,Huddersfield - Wat...
347,Abdoulaye Doucouré,Watford,Watford - Southampton,7.099469480704061,1,0,3,Watford - Southamp...
356,Abdoulaye Doucouré,Watford,Watford - Wolves,4.842322479367655,1,2,0,Watford - Wolves
367,Abdoulaye Doucouré,Watford,Chelsea - Watford,5.552020153250928,0,0,0,Chelsea - Watford
379,Abdoulaye Doucouré,Watford,Watford - West Ham,9.738532477765311,1,1,1,Watford - West Ham...
1,Adam Smith,Bournemouth,Bournemouth - Cardiff,4.450352346260739,2,3,2,Bournemouth - Card...
15,Adam Smith,Bournemouth,West Ham - Bournemouth,5.708949627722828,0,2,3,West Ham - Bournem...
21,Adam Smith,Bournemouth,Bournemouth - Everton,4.695790422946525,0,2,2,Bournemouth - Ever...
31,Adam Smith,Bournemouth,Chelsea - Bournemouth,6.058188645515216,2,1,3,Chelsea - Bournemo...
40,Adam Smith,Bournemouth,Bournemouth - Leicester,8.6500675713416,1,2,0,Bournemouth - Leic...
51,Adam Smith,Bournemouth,Burnley - Bournemouth,6.3015247446043325,1,3,2,Burnley - Bournemo...
69,Adam Smith,Bournemouth,Bournemouth - Crystal Palace,6.942807259533627,1,2,1,Bournemouth - Crys...
76,Adam Smith,Bournemouth,Watford - Bournemouth,9.346073133358033,0,1,2,Watford - Bournemo...
80,Adam Smith,Bournemouth,Bournemouth - Southampton,4.505637446514741,2,1,0,Bournemouth - Sout...
91,Adam Smith,Bournemouth,Fulham - Bournemouth,6.991694943128826,2,3,3,Fulham - Bournemou...
101,Adam Smith,Bournemouth,Bournemouth - Man United,5.821387524696647,2,1,2,Bournemouth - Man ...
114,Adam Smith,Bournemouth,Newcastle - Bournemouth,4.3766871421741325,2,1,0,Newcastle - Bourne...
127,Adam Smith,Bournemouth,Bournemouth - Arsenal,5.774898166986253,1,2,0,Bournemouth - Arse...
134,Adam Smith,Bournemouth,Man City - Bournemouth,7.690066903234285,2,1,0,Man City - Bournem...
140,Adam Smith,Bournemouth,Bournemouth - Huddersfield,7.736783962503659,2,1,1,Bournemouth - Hudd...
151,Adam Smith,Bournemouth,Bournemouth - Liverpool,4.6853682519101145,0,1,3,Bournemouth - Live...
166,Adam Smith,Bournemouth,Wolves - Bournemouth,6.865951732421551,0,3,0,Wolves - Bournemou...
172,Adam Smith,Bournemouth,Bournemouth - Brighton,8.201336761998961,0,3,1,Bournemouth - Brig...
187,Adam Smith,Bournemouth,Tottenham - Bournemouth,8.897659497632043,1,0,2,Tottenham - Bourne...
198,Adam Smith,Bournemouth,Man United - Bournemouth,6.183413807984765,2,2,2,Man United - Bourn...
203,Adam Smith,Bournemouth,Bournemouth - Watford,9.908370111586864,0,0,2,Bournemouth - Watf...
217,Adam Smith,Bournemouth,Everton - Bournemouth,7.475423910894358,1,0,3,Everton - Bournemo...
221,Adam Smith,Bournemouth,Bournemouth - West Ham,8.189741791766242,2,3,0,Bournemouth - West...
236,Adam Smith,Bournemouth,Bournemouth - Chelsea,9.379650601436452,2,3,2,Bournemouth - Chel...
242,Adam Smith,Bournemouth,Cardiff - Bournemouth,7.840066964795043,1,2,3,Cardiff - Bournemo...
255,Adam Smith,Bournemouth,Liverpool - Bournemouth,5.031820875272491,2,0,1,Liverpool - Bourne...
263,Adam Smith,Bournemouth,Bournemouth - Wolves,7.350756272931999,0,2,3,Bournemouth - Wolv...
